AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU45_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.29,1.92,0.0,0.0,0.0,1.04,0.0,1.45,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.31,2.0,0.0,0.0,0.0,0.91,0.04,1.43,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.33,2.12,0.02,0.01,0.0,0.92,0.04,1.46,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.35,2.18,0.02,0.01,0.0,0.92,0.04,1.6,0.0,0.0,1.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,0.0,2.02,0.41,2.26,0.02,0.01,0.0,0.99,0.0,1.78,0.0,0.0,1.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,0.0,2.09,0.45,2.27,0.0,0.0,0.02,0.98,0.03,1.91,0.0,0.0,1.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,0.0,2.15,0.47,2.26,0.05,0.05,0.02,0.88,0.07,1.96,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.49,2.16,0.06,0.08,0.02,0.84,0.09,1.99,0.0,0.0,1.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,0.0,2.03,0.47,2.01,0.12,0.09,0.03,0.75,0.07,2.07,0.0,0.0,1.0,0.0,0.0,1.0
0.04,0.0,0.0,0.0,0.0,0.0,2.05,0.47,1.95,0.13,0.11,0.03,0.7,0.06,2.18,0.0,0.0,1.0,0.0,0.0,1.0
0.04,0.0,0.0,0.0,0.0,0.0,2.09,0.42,1.85,0.12,0.15,0.03,0.74,0.05,2.4,0.0,0.0,1.0,0.0,0.0,1.0
0.03,0.0,0.0,0.0,0.0,0.0,2.04,0.41,1.78,0.11,0.25,0.0,0.72,0.04,2.52,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.38,1.62,0.16,0.24,0.0,0.88,0.09,2.49,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.39,1.65,0.26,0.22,0.0,0.85,0.12,2.45,0.0,0.0,1.0,0.0,0.0,1.0
0.02,0.0,0.0,0.0,0.0,0.0,2.12,0.42,1.74,0.21,0.12,0.0,0.91,0.23,2.35,0.0,0.0,1.0,0.0,0.0,1.0
0.02,0.0,0.0,0.0,0.0,0.0,2.15,0.45,1.83,0.17,0.11,0.0,0.84,0.28,2.34,0.0,0.0,1.0,0.0,0.0,1.0
0.02,0.0,0.0,0.0,0.0,0.0,2.25,0.46,1.82,0.12,0.12,0.0,0.88,0.26,2.18,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.42,1.83,0.22,0.1,0.0,0.9,0.19,2.04,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.45,1.76,0.18,0.2,0.0,0.99,0.1,1.92,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.41,1.65,0.2,0.22,0.0,0.97,0.07,1.81,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.41,1.48,0.13,0.22,0.0,0.97,0.04,1.66,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.36,1.49,0.1,0.09,0.0,0.9,0.01,1.37,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.39,1.5,0.03,0.09,0.0,0.86,0.01,0.78,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.44,1.45,0.0,0.16,0.03,0.85,0.01,0.3,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.48,1.29,0.0,0.15,0.09,0.83,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.5,1.27,0.0,0.11,0.1,0.83,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,2.33,0.44,1.3,0.0,0.05,0.16,0.8,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06,2.43,0.4,1.32,0.0,0.05,0.24,0.77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06,2.39,0.4,1.25,0.0,0.0,0.27,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,2.32,0.46,1.13,0.0,0.0,0.26,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.49,1.05,0.0,0.0,0.11,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.5,0.91,0.0,0.0,0.07,0.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.52,0.93,0.0,0.01,0.0,0.9,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.01,2.12,0.51,0.96,0.0,0.01,0.0,0.96,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.01,2.08,0.52,1.06,0.0,0.05,0.0,1.05,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,2.05,0.49,0.98,0.0,0.04,0.0,1.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02,2.01,0.51,0.83,0.0,0.04,0.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02,1.99,0.51,0.64,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04,1.96,0.51,0.76,0.0,0.0,0.04,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08,1.89,0.53,0.94,0.0,0.0,0.04,1.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1,1.85,0.53,1.01,0.0,0.0,0.04,1.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.07,1.81,0.54,0.87,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,1.82,0.5,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,1.83,0.49,0.93,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,1.85,0.45,0.94,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13,1.88,0.45,0.89,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.9,0.43,0.78,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.98,0.46,0.76,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.12,1.98,0.48,0.77,0.0,0.0,0.09,1.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.89,0.49,0.82,0.0,0.0,0.09,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.14,1.7,0.46,0.84,0.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.14,1.65,0.45,0.79,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13,1.64,0.43,0.76,0.0,0.0,0.02,1.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17,1.67,0.43,0.75,0.0,0.0,0.02,1.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.19,1.72,0.43,0.71,0.02,0.0,0.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2,1.71,0.43,0.73,0.02,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.71,0.44,0.72,0.02,0.0,0.0,1.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.07,1.64,0.39,0.76,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05,1.73,0.41,0.76,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05,1.81,0.43,0.79,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02,1.89,0.44,0.88,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04,1.94,0.43,0.95,0.0,0.0,0.06,1.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04,1.95,0.41,0.91,0.0,0.0,0.06,1.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.07,1.92,0.45,0.77,0.0,0.0,0.06,0.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08,1.89,0.46,0.76,0.0,0.0,0.0,0.94,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,1.89,0.47,0.8,0.0,0.0,0.0,0.97,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13,1.94,0.48,0.88,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.14,1.97,0.46,0.78,0.0,0.01,0.0,0.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.15,1.94,0.46,0.77,0.0,0.02,0.01,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.15,1.95,0.44,0.72,0.0,0.03,0.01,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.95,0.42,0.75,0.0,0.09,0.01,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,1.99,0.41,0.78,0.0,0.16,0.0,0.82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05,2.01,0.39,0.85,0.0,0.15,0.0,0.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,2.01,0.4,0.92,0.0,0.08,0.0,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,2.04,0.4,0.9,0.0,0.0,0.01,0.69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,2.06,0.4,0.93,0.0,0.04,0.01,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1,2.09,0.4,0.9,0.0,0.1,0.01,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1,2.11,0.37,0.86,0.0,0.1,0.02,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08,2.13,0.4,0.84,0.0,0.11,0.02,0.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.07,2.13,0.43,0.86,0.0,0.05,0.02,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,2.19,0.48,0.89,0.0,0.1,0.0,0.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05,2.25,0.48,0.83,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04,2.26,0.48,0.79,0.0,0.11,0.0,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13,2.24,0.46,0.83,0.0,0.14,0.02,0.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.15,2.27,0.51,0.87,0.04,0.19,0.07,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.18,2.35,0.52,0.83,0.05,0.2,0.21,0.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13,2.42,0.59,0.8,0.05,0.21,0.19,0.76,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,2.45,0.62,0.83,0.01,0.22,0.19,0.67,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1,2.46,0.65,1.1,0.0,0.15,0.16,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11,2.53,0.65,1.26,0.0,0.19,0.16,0.37,0.09,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,2.61,0.62,1.19,0.0,0.23,0.11,0.29,0.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09,2.65,0.61,0.91,0.0,0.35,0.0,0.47,0.28,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06,2.63,0.56,0.72,0.01,0.25,0.01,0.54,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08,2.62,0.54,0.62,0.01,0.3,0.09,0.63,0.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07,0.0,0.06,2.51,0.51,0.71,0.01,0.26,0.09,0.6,0.44,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07,0.0,0.03,2.4,0.52,0.69,0.0,0.3,0.07,0.56,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12,0.0,0.0,2.3,0.49,0.87,0.0,0.27,0.14,0.53,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.04,0.0,0.0,2.23,0.49,0.85,0.0,0.32,0.27,0.38,0.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.04,0.0,0.0,2.28,0.48,0.83,0.0,0.33,0.31,0.37,0.43,0.04,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.03,0.0,0.0,2.29,0.48,0.7,0.0,0.35,0.38,0.35,0.43,0.04,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09,0.0,0.0,2.44,0.46,0.62,0.0,0.38,0.27,0.34,0.37,0.08,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09,0.0,0.0,2.41,0.47,0.52,0.0,0.39,0.23,0.38,0.34,0.04,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06,0.0,0.0,2.37,0.45,0.42,0.0,0.48,0.06,0.34,0.29,0.12,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.41,0.33,0.0,0.39,0.15,0.46,0.38,0.08,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.38,0.42,0.0,0.41,0.29,0.4,0.37,0.08,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.39,0.44,0.0,0.26,0.32,0.42,0.28,0.01,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.4,0.44,0.0,0.26,0.26,0.45,0.28,0.01,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.4,0.26,0.0,0.2,0.22,0.57,0.35,0.01,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.39,0.36,0.0,0.23,0.23,0.59,0.35,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.4,0.37,0.0,0.18,0.29,0.55,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.35,0.41,0.0,0.31,0.35,0.49,0.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.32,0.33,0.0,0.28,0.42,0.47,0.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.28,0.27,0.0,0.4,0.51,0.49,0.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.26,0.33,0.0,0.33,0.51,0.47,0.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.22,0.41,0.0,0.34,0.53,0.4,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.19,0.43,0.0,0.26,0.45,0.36,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.19,0.47,0.0,0.26,0.44,0.23,0.23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.21,0.33,0.0,0.25,0.5,0.2,0.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.27,0.31,0.02,0.41,0.52,0.09,0.26,0.06,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.31,0.25,0.02,0.36,0.6,0.1,0.25,0.06,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.32,0.32,0.02,0.31,0.69,0.1,0.22,0.06,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.32,0.26,0.0,0.08,0.69,0.07,0.24,0.04,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.31,0.19,0.0,0.17,0.63,0.07,0.21,0.14,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.33,0.02,0.0,0.19,0.57,0.01,0.11,0.18,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.35,0.12,0.0,0.44,0.71,0.07,0.15,0.15,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.36,0.1,0.07,0.41,0.88,0.06,0.29,0.04,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3,0.19,0.07,0.45,0.9,0.09,0.45,0.01,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.25,0.2,0.1,0.5,0.87,0.03,0.71,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,2.49,0.23,0.21,0.23,0.58,0.75,0.03,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,2.46,0.18,0.23,0.32,0.6,0.74,0.0,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,2.35,0.14,0.25,0.39,0.48,0.75,0.0,0.68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,2.28,0.05,0.23,0.19,0.41,0.79,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,2.31,0.03,0.21,0.1,0.42,0.81,0.0,0.59,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,2.37,0.03,0.23,0.15,0.42,0.74,0.0,0.54,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,2.47,0.08,0.25,0.25,0.47,0.8,0.0,0.6,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,2.61,0.13,0.27,0.37,0.52,0.9,0.0,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,2.69,0.13,0.28,0.39,0.57,0.95,0.0,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,2.62,0.08,0.37,0.37,0.6,1.03,0.0,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,2.56,0.03,0.42,0.31,0.64,1.05,0.01,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,2.51,0.01,0.36,0.14,0.66,1.16,0.01,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0,2.65,0.04,0.42,0.22,0.72,1.21,0.01,0.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,2.66,0.04,0.28,0.29,0.65,1.08,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0,2.82,0.1,0.39,0.4,0.57,1.06,0.0,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,2.79,0.09,0.3,0.33,0.47,0.83,0.0,0.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0,0.0,2.82,0.13,0.35,0.34,0.54,0.85,0.0,0.84,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,2.67,0.11,0.21,0.44,0.59,0.87,0.0,0.86,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,2.73,0.14,0.15,0.34,0.64,0.9,0.0,1.04,0.01,0.0,0.0,1.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0,0.0,2.73,0.1,0.08,0.3,0.61,1.11,0.06,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,2.83,0.04,0.04,0.46,0.59,1.2,0.12,1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,1.1,0.53,1.29,0.18,1.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
